,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,x,y,c
26022,6JGpX7VlDPbyPSYVHrWP0l,little cory,7,95613,0,['Jean Ritchie'],['7cWhIVoEYJd0oWnxULFt8s'],1952,-0.07581948683685179,-2.068632535210689,9,-2.0165596301222277,1,-0.35000591722836927,1.5426624417902064,-0.425119674329468,-0.6940708082310743,0.5189080634022413,0.30738846482256027,4,-10.807403564453125,-55.27902603149414,94
26023,6MazCzaHO6po5ZAM8XMsF9,fawncy meetin' you,6,181467,0,['Count Basie'],['2jFZlvIea42ZvcCw4OeEdA'],1952-01-01,-1.002956988974807,-0.5280820850868286,1,-0.7662963099064268,1,-0.31164973904175036,1.1900619270881423,2.872392305706486,-0.21665475267147977,0.25500558069011986,1.702861173656204,4,18.956560134887695,44.066524505615234,45
26024,6XlPpxvUFMuAacVIzlxHwS,you mustn't kick it around,5,173040,0,"[""Original Broadway Cast of 'Pal Joey'""]",['11LEVxRCItwUu8jD6pprpR'],1952-01-01,0.09877134148782751,-0.46457060041282244,3,-0.5703961794247118,1,-0.3511176905091408,0.8689947917496771,-0.42336974467642624,0.21735984329178804,1.2058307022264387,-0.7151518480064263,4,11.914010047912598,-28.20966339111328,94
26025,6XudEusqKWoNxfFIaLw9QD,give a little whistle - live at the college of the pacific / 1953,5,523133,0,['The Dave Brubeck Quartet'],['4iRZAbYvBqnxrbs6K25aJ7'],1952-11-30,-0.8404069074311395,1.0279492894263216,10,0.46431805038141827,0,-0.3322175447360242,0.3787940761882703,-0.16768890952438842,2.653266763135628,-0.13696722451464832,0.29129525602199896,4,-4.334735870361328,7.646323204040527,90
26027,6f2BqtyLbUgwWnHz5sLyeI,haka of te rauparaha,6,209213,0,['Unspecified'],['1DAxGq6wVo10yU3vjZV9kM'],1952-01-01,0.9717254831112268,-1.365639789225284,2,-1.9609530735261136,1,4.1254374245175525,1.5598624668976242,-0.42507920486425843,1.1776171368605177,-0.02830149633906891,-0.10142607523011309,4,70.07872772216797,-9.082144737243652,3
26030,6kwNjGnrQajYjvVEGKnfxt,ring of fire,7,159507,0,['The Carter Family'],['0FRIWJYklnmsll5M6h4gUL'],1952,0.5563197191662992,-0.8218227017041068,7,-0.3733171113473193,1,-0.4350565732073937,-0.18307341065404353,-0.425051850503515,0.09800582940188945,-0.6220820824413417,-0.7242231765578908,4,13.828100204467773,-7.385498523712158,94
26031,6zAd07R8PM2y57w6Pbm5zG,"i found a new baby - live at the college of the pacific, stockton, ca / december 14, 1953",5,94533,0,['The Dave Brubeck Quartet'],['4iRZAbYvBqnxrbs6K25aJ7'],1952-11-30,-0.8464272808216458,-0.04777648223965716,2,-0.1601258961290037,0,-0.3994798282227037,1.5397957709389705,3.198396331005495,3.618949239153898,1.1282123249581677,-1.2060787102064314,4,-8.23630428314209,27.500343322753906,45
26032,74WnazrCX4rJhDpv2QL36K,fair and tender ladies,5,186533,0,"['The Carter Sisters', 'Mother Maybelle']","['2Z76ufZ8SQ3z2jEjrlecNV', '1B2bDUw0nlnTleO0hrJhpD']",1952,-0.7561216799640528,-1.2108305453323944,1,-0.2013887119777098,1,-0.41448876751311986,1.081128434741163,-0.42511416598559226,0.4397923237229626,-0.757914242660816,0.012839067005187683,4,-38.45862579345703,-15.277298927307129,70
26033,76yton085heTJ42I4e4TgQ,diane,5,141200,0,['Billy May'],['45Z2ShPqr2p9ZgfkYhZUgq'],1952-10-04,-0.2805121821140628,-1.5085406297417978,2,-0.33185780589933345,0,-0.38780620877460237,1.12986183921218,-0.37902945006305633,-0.6571795675741965,-0.8083661878851921,0.035685375949617376,4,-43.90560531616211,-45.13481140136719,71
26034,7ACJbB8ixxoD0u6XNRyhgD,polka dots and moonbeams (around a pug-nosed dream),7,191027,0,['Oscar Peterson Trio'],['0ldU0QJm31y0d6f57R1G2A'],1952-01-01,-0.2082677014279883,-1.7467086972693209,1,-1.4933078272407758,1,-0.3299939981744811,1.433728949443227,-0.425119674329468,-0.5530160645430121,-1.3128856401289533,-1.2824794551176555,3,-56.8097038269043,-48.161399841308594,71
26035,7B2JgS6hHPmBNGnjuwz79x,"aria from pastorale in f major, bwv 590",5,262640,0,"['Johann Sebastian Bach', 'Pablo Casals', 'Perpignan Festival Orchestra']","['5aIqB5nVVvmFsvSdExz408', '42ZCvzken6DllCB1xghinZ', '4LGZdnRZrdTz2Cx7thcc4d']",1952,-2.9114153537652725,-0.8337311050804829,0,-0.7818189882495117,0,-0.3322175447360242,1.1642618894270156,2.7712186426826553,-0.22750511757056147,-1.7785959037385788,-1.5390636630714905,5,-29.441917419433594,57.593650817871094,45
26036,7BGUWwhmZgnhGtIcWyozQZ,ruslan and lyudmila / act 1: overture,7,333573,0,"['Mikhail Glinka', 'Concertgebouworkest', 'Bernard Haitink']","['1GEuHbNwTRj4QPyoythtBh', '2HqNckz4bPVT37fWkhugTZ', '13F9LNBUeRx3FYLr96Bge1']",1952,-1.7856055297406128,-0.6868607967718439,2,-0.9073758421891464,1,-0.37279726948418623,1.379262203269738,2.992301832253248,-0.40653613840540925,-0.3077276545048445,1.0934694800767015,4,3.447227716445923,54.41688537597656,45
26037,7BpMHu86hq8l663yjLHLcx,limelight opening / terry's theme (eternally) / hurdy gurdy waltz,5,119820,0,['Charlie Chaplin'],['6AmG7SNdlV9boPZ7dFVnLY'],1952,-2.0023389717988365,-1.6554109380504372,5,-1.623973410761679,1,-0.3166527188052224,1.4996623790216623,1.2273834883930954,0.8955076494843939,-1.4215513683045324,1.5571487591091595,5,-35.68171691894531,39.6604118347168,57
26038,7LukS8CdzBfX0nuQD6yKF9,it's the hard-knock life,6,139973,0,['Andrea McArdle'],['74AUP6Y3N7vo7s043wFa0m'],1952,0.3034640367650385,-0.8734257830017368,11,-0.9616069715903032,1,0.6233515900871331,1.1097951432535258,-0.4224591817092117,-0.2546310298182656,0.20067271660233013,1.0762339558289185,4,49.884315490722656,-48.82822799682617,79
